Row Labels,Sum of Terakhir,Sum of Tertinggi,Sum of Pembukaan,Sum of Terendah
23/10/2012,1708.3,1728.5,1726.6,1708.4
23/10/2013,1333.9,1333.4,1331.9,1331.9
23/10/2014,1352.1,1228,1228,1227.9
23/10/2015,1218.7,1218.7,1218.7,1218.7
23/10/2017,1356.9,1356.9,1356.9,1356.9
23/10/2018,1312,1312,1312,1312
23/10/2019,1524.9,1526.1,1522,1522
23/10/2020,1905.2,1917.3,1906.5,1895.2
23/11/2011,1695.7,1700,1691.2,1681.6
23/11/2012,1751.3,1735,1735,1735
23/11/2015,1124.7,1124.7,1124.7,1124.7
23/11/2016,1256.9,1256.9,1256.9,1256.9
23/11/2017,1291.66,1293.87,1291.19,1287.65
23/11/2018,1296.1,1296.1,1296.1,1296.1
23/11/2020,1837.8,1875,1869.8,1828
23/12/2011,1604.7,1612.8,1612,1605.8
23/12/2013,1198.4,1205.2,1205.2,1195.9
23/12/2014,1289.7,1180.3,1179.3,1175
23/12/2015,1128.2,1128.2,1128.2,1128.2
23/12/2016,1216.8,1216.8,1216.8,1216.8
23/12/2019,1514.4,1514.9,1510.7,1510.7
23/12/2020,1878.1,1883.7,1865.6,1860.9
24/01/2011,1344.5,1352.3,1352.3,1341.8
24/01/2012,1664.2,1668.2,1666.9,1664.4
24/01/2013,1669.5,1681.7,1680.8,1668
24/01/2014,1264.5,1269.4,1258.3,1258.3
24/01/2017,1294.1,1299.6,1299.6,1295.4
24/01/2018,1456.3,1456.3,1456.3,1456.3
24/01/2019,1344.9,1344.9,1344.9,1344.9
24/01/2020,1599,1601.4,1589.1,1584
24/02/2011,1415.3,1415.3,1415.1,1408.3
24/02/2012,1775.1,1780.7,1778.5,1771.3
24/02/2014,1338.3,1339,1324.3,1321.4
24/02/2015,1293.1,1293.1,1293.1,1293.1
24/02/2016,1277.1,1277.1,1277.1,1277.1
24/02/2017,1338.4,1338.4,1338.4,1338.4
24/02/2020,1697.1,1711.8,1673.3,1673.3
24/03/2011,1434.8,1446.9,1437.7,1437.5
24/03/2014,1311.2,1333,1333,1310.5
24/03/2015,1281.2,1281.2,1281.2,1281.2
24/03/2016,1272.4,1272.4,1272.4,1272.4
24/03/2017,1330.4,1330.4,1330.4,1330.4
24/03/2020,1663,1691.4,1578,1578
24/04/2012,1643,1648.6,1634.4,1634.4
24/04/2013,1423.4,1430.1,1423.2,1420.4
24/04/2014,1290.5,1297.9,1284.6,1272.4
24/04/2015,1260.4,1260.4,1260.4,1260.4
24/04/2017,1355.8,1355.8,1355.8,1355.8
24/04/2018,1433.1,1433.1,1433.1,1433.1
24/04/2019,1329.9,1329.9,1329.9,1329.9
24/04/2020,1741.7,1765.5,1754.4,1733
24/05/2011,1523.2,1527.1,1527.1,1521.9
24/05/2012,1557.3,1569.4,1559,1551.5
24/05/2013,1386.8,1386.8,1386.8,1386.8
24/05/2015,1204.4,1205.8,1205.8,1203.9
24/05/2016,1282.7,1282.7,1282.7,1282.7
24/05/2017,1329.7,1329.7,1329.7,1329.7
24/05/2018,1404.2,1404.2,1404.2,1404.2
24/05/2019,1330.1,1329.2,1329.2,1329.2
24/05/2020,1730.65,1735.9,1735.45,1729.8
24/06/2011,1500.5,1525,1524.7,1498.5
24/06/2013,1276.8,1297.3,1297.3,1275.7
24/06/2014,1320.9,1325.6,1315.6,1315.6
24/06/2015,1271,1271,1271,1271
24/06/2016,1376.8,1376.8,1376.8,1376.8
24/06/2019,1450.9,1449.6,1439.1,1439
24/06/2020,1792.6,1810.7,1800.4,1787.8
24/07/2012,1576,1581.9,1574,1574
24/07/2013,1319.7,1345.1,1342.2,1318.6
24/07/2014,1447.3,1297.5,1297.5,1297.5
24/07/2015,1180,1180,1180,1180
24/07/2017,1325.4,1323.6,1323.6,1323.6
24/07/2018,1310.8,1310.8,1310.8,1310.8
24/07/2019,1462.9,1467.2,1467.2,1467.2
24/07/2020,1925.2,1933.6,1912.3,1908
24/08/2011,1754.1,1853.1,1833,1753.1
24/08/2012,1669.8,1669.6,1665.8,1662.2
24/08/2015,1238.9,1238.9,1238.9,1238.9
24/08/2016,1390.4,1389,1389,1389
24/08/2017,1358.9,1358.9,1358.9,1358.9
24/08/2018,1285,1285,1285,1285
24/08/2020,1939.2,1970.3,1947.9,1930.8
