Date,Price,Open,High,Low,Vol.,Change %
26-Jul-18,1311.5,1311.5,1311.5,1311.5,0.00K,-0.39%
25-Jul-18,1316.7,1316.7,1316.7,1316.7,0.06K,0.45%
24-Jul-18,1310.8,1310.8,1310.8,1310.8,0.04K,0.01%
23-Jul-18,1310.7,1307.6,1307.6,1307.6,0.00K,-0.46%
20-Jul-18,1316.8,1316.8,1316.8,1316.8,0.15K,0.49%
19-Jul-18,1310.4,1302,1302,1302,0.08K,-0.35%
18-Jul-18,1315,1315,1315,1315,0.00K,0.03%
17-Jul-18,1314.6,1320,1320,1320,0.03K,-0.97%
16-Jul-18,1327.5,1327.5,1327.5,1327.5,0.00K,-0.11%
13-Jul-18,1329,1327,1327,1327,0.00K,-0.46%
12-Jul-18,1335.2,1335.2,1335.2,1335.2,0.01K,0.16%
11-Jul-18,1333.1,1333.1,1333.1,1333.1,0.03K,-0.88%
10-Jul-18,1344.9,1344.9,1344.9,1344.9,0.07K,-0.29%
09-Jul-18,1348.8,1348.8,1348.8,1348.8,0.04K,0.31%
06-Jul-18,1344.6,1344.6,1344.6,1344.6,0.01K,-0.21%
05-Jul-18,1347.4,1347.4,1347.4,1347.4,0.01K,7.10%
04-Jul-18,1258.1,1256.2,1262.4,1255.3,-,-6.27%
03-Jul-18,1342.2,1342.2,1342.2,1342.2,0.04K,0.94%
02-Jul-18,1329.7,1329.7,1329.7,1329.7,0.03K,-1.04%
29-Jun-18,1343.7,1343.7,1343.7,1343.7,0.05K,0.28%
28-Jun-18,1340,1340,1340,1340,0.38K,-0.41%
27-Jun-18,1345.5,1345.5,1345.5,1345.5,0.01K,-0.33%
26-Jun-18,1350,1350,1350,1350,0.09K,-0.71%
25-Jun-18,1359.6,1353.7,1353.7,1353.7,0.00K,-0.15%
22-Jun-18,1361.7,1365,1365,1365,0.00K,0.02%
21-Jun-18,1361.4,1360,1360,1360,0.00K,-0.31%
20-Jun-18,1365.7,1376.8,1376.8,1376.8,0.00K,-0.28%
19-Jun-18,1369.6,1369.6,1369.6,1369.6,0.03K,-0.14%
18-Jun-18,1371.5,1371.5,1371.5,1371.5,0.04K,0.13%
15-Jun-18,1369.7,1369.7,1369.7,1369.7,0.59K,-2.23%
14-Jun-18,1401,1401,1401,1401,0.05K,0.51%
13-Jun-18,1393.9,1393.9,1393.9,1393.9,0.14K,0.12%
12-Jun-18,1392.2,1392.2,1392.2,1392.2,0.15K,-0.27%
11-Jun-18,1395.9,1395.9,1395.9,1395.9,0.07K,0.08%
08-Jun-18,1394.8,1394.8,1394.8,1394.8,0.65K,0.00%
07-Jun-18,1394.8,1394.8,1394.8,1394.8,0.08K,0.06%
06-Jun-18,1393.9,1393.9,1393.9,1393.9,0.03K,-0.04%
05-Jun-18,1394.5,1394.5,1394.5,1394.5,0.36K,0.36%
04-Jun-18,1389.5,1389.6,1390.5,1389.6,0.00K,-0.04%
